Date,Time,Operator,Flight,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Location,Latitude,Longitude,geometry
8/24/2001,5:42,Ameristar Jet Charter,,"Ithaca, NY - Jackson, MI",Learjet 25,N153TW,25-053,2,0,2,2,0,2,0,"Shortly after taking off the cargo plane crashed into a wooded area about one-half mile from the runway. The pilot's failure to maintain a proper climb rate while taking off at night, which was a result of spatial disorientation. Factors in the accident were the low visibility and cloud conditions, and the dark night.","Ithaca, New York",42.4396039,-76.4968019,POINT (42.4396039 -76.49680190000002)
8/29/2001,10:15,Binter Mediterráneo,8261,Melilla - Málaga,CASA  CN-235-200,EC-FBC,C033,47,44,3,4,3,1,0,"The aircraft crash-landed on a highway near Ruiz Picasso Airport in Málaga. While on final approach, the pilot reported failure of the plane's left engine forcing the crew to make an emergency landing.  The plane crashed 1,300 ft. short of the runway. The pilot later died of his injuries.","Malaga, Spain",36.7213028,-4.4216366,POINT (36.7213028 -4.421636599999999)
9/11/2001,9:03,United Air Lines,175,Boston - Los Angeles,Boeing B-767-222,N612UA,21873/41,65,56,9,65,56,9,2750,"The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the south tower of the World Trade Center between the 78th and 84th floors at approximately 550 mph. After 56 minutes, the building collapsed. It was one of four planes that were hijacked the same day.","New York City, New York",40.7127281,-74.0060152,POINT (40.7127281 -74.00601519999999)
9/11/2001,10:03,United Air Lines,93,Newark - San Francisco,Boeing B-757-222,N591UA,28142/718,44,37,7,44,37,7,0,The aircraft was hijacked after taking off from Newark International Airport. The hijackers took control of the aircraft and turned the plane towards Washington D.C.  A struggle ensued between the passengers and hijackers after which the plane crashed at a high rate of speed into a field in the Pennsylvania countryside. It was one of four planes that were hijacked the same day.,"Shanksville, Pennsylvania",40.0175017,-78.9071878,POINT (40.0175017 -78.9071878)
9/11/2001,9:45,American Airlines,77,Washington D.C. - Los Angeles,Boeing B-757-223,N644AA,24602/365,64,58,6,64,58,6,125,The aircraft was hijacked after taking off from Dulles International Airport. The hijackers took control of the aircraft and deliberately crashed it into the Pentagon. It was one of four planes that were hijacked the same day.,"Arlington, Virginia.",38.8903961,-77.0841585,POINT (38.8903961 -77.0841585)
9/11/2001,8:47,American Airlines,11,Boston - Los Angeles,Boeing 767-223ER,N334AA,22332/169,92,81,11,92,81,11,2750,"The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the north tower of the World Trade Center between the 94th and 99th floors at approximately 450 mph.  After 102 minutes, the building collapsed. It was one of four planes that were hijacked the same day.","New York City, New York",40.7127281,-74.0060152,POINT (40.7127281 -74.00601519999999)
9/12/2001,16:25,Aero Ferinco Charter,-,Chichen Itza - Cozumel,LET 410UVP,XA-ACM,892401,19,17,2,19,17,2,0,"The aircraft crashed 4.4 miles from Kura Airport shortly after a normal takeoff. The plane was flying at about 1,500 feet when it began turning onto a course requested by the air traffic controller. It did not stop turning and suddenly plunged to the ground.","Chichen Itza, Mexico",20.68285195,-88.56871964,POINT (20.68285195 -88.56871963552049)
9/15/2001,,TAM (Brazil),9755,Recife  - Sao Paulo,Fokker 100,PT-MRN,11443,82,77,5,1,1,0,0,"While the aircraft was over Belo Horizonte, the cabin depressurized, causing the death of one passenger. The aircraft made an emergency landing at Cofins. Three of the other 77 passengers aboard suffered minor injuries. Pressurization was lost at an altitude of  33,000 feet when the right engine disintegrated, causing pieces of the engine to break two cabin windows.","Belo Horizonte, Brazil",-19.9227318,-43.9450948,POINT (-19.9227318 -43.9450948)
9/18/2001,7:30,Atlantic Airlines,870,"Guatemala City - San Pedro Sula, Honduras",LET 410UVP-E,TG-CPE,861705,13,11,2,9,8,1,0,The aircraft was taking off from Guatemala's Aurora Airport when it lost power in one of it's engines and crashed to the ground.,"Guatemala City, Guatemala",14.6222328,-90.5185188,POINT (14.6222328 -90.5185188)
10/4/2001,13:44,Sibir Airlines,1812,"Tel Aviv -  Novosibirsk, Russia",Tupolev Tu-154M,RA-85693,90A-866,78,66,12,78,66,12,0,"The aircraft exploded in mid-air at 36,000 ft. while  en route over the Black Sea. The plane then nose-dived crashing into the water. The airliner was brought down accidentally by a Ukrainian surface-to-air missile, fired during military exercises.","110 miles SW of Sochi, Russia",43.59427,39.725225,POINT (43.59427 39.725225)
10/8/2001,17:50,Air Saint Maurice Inc.,, Iyachisakus Lake - Mollet Lake,de Havilland DHC-2 Mk 1 Beaver,C-GPUO,810,7,6,1,3,2,1,0,The seaplane crashed into Mollet Lake while attempting to land. The seaplane stalled at an altitude that did not allow the pilot time to recover from the stall. The stall occurred in circumstances conducive to illusions created by drift.,"Mollet Lake, Quebec, Canada",46.855987,-71.276271,POINT (46.855987 -71.27627099999999)
10/8/2001,8:10,Scandinavian Airlines (SAS) / Private,686 / -,Milan - Copenhagen / Milan - Paris,MD-87 / Cessna 525A Citation II,SE-DMA / D-IEVX,53009/ 525A-0036,114,106,8,114,106,8,4,"The MD-87 aircraft was taking off from Linate Airport in fog and poor visibility when it struck a German Cessna Citation II business jet. The MD-87 rotated for takeoff and did make it into the air for 9 seconds, but was too damaged to sustain flight. The plane then swerved off the runway and  collided with the airport's baggage handling building, bursting into flames. The Cessna,  which was about to take off for Paris, entered the active runway by mistake, after  having been told by the tower to enter a different taxiway and hold short of the runway. One hundred four passengers and 6 crew on the MD-87 and  2 passengers and 2 crew on the Citation were killed along with 4 on the ground. The MD-87 was named Lage Viking.  Caused largely by human error and poorly followed safety procedures and improper terminology used by the tower. Communication between the aircraft and the tower had been ""in English and Italian,"" as opposed to aviation standards that only English be spoken. In addition, despite the poor visibility and inadequately marked airport landmarks, the control tower operators failed to ask the Cessna to read back his instructions to make sure they were understood. There was no ground radar, runway motion sensors were turned off and it took 20 minutes before anyone realized the two planes had collided.","Milan, Italy",45.4668,9.1905,POINT (45.4668 9.1905)
10/10/2001,10:42,Flightline,101,"Barcelona - Oran, Algeria",Swearingen SA-226AT Merlin IV,EC-GDV,AT-043,10,8,2,10,8,2,0,"The plane was en-route from Barcelona, Spain to Oran, Algeria, 80 miles off the coast of Valencia, Spain when it informed Valencia ATC it was going to change course in order to avoid bad weather. There was no further contact with the aircraft. Debris was sighted two days later on the water. Electrical power was presumably lost following a lightning strike. Control was lost and the airplane crashed into the sea.","Off Valencia, Spain",39.4699,-0.3763,POINT (39.4699 -0.3763)
10/10/2001,9:26,PenAir,350,Dillingham - King Salmon,Cessna 208 Caravan,N9530F,20800088,10,9,1,10,9,1,0,"Shortly after taking off from Dillingham, the aircraft's wing dipped, the nose pitched up, the plane became inverted and crashed to the ground. The weather was clear and windy at the time of the accident. An in-flight loss of control resulting from upper surface ice contamination that the pilot-in-command failed to detect during his preflight inspection of the airplane. Contributing to the accident was the lack of a preflight inspection requirement for CE-208 pilots to examine at close range the upper surface of the wing for ice contamination when ground icing conditions exist.","Dillingham, Alaska",59.0397222,-158.4575,POINT (59.03972220000001 -158.4575)
10/11/2001,23:35,Perimeter Airlines,,Gods Narrows - Shamattawa,Swearingen SA.226TC Metro I,C-GYPA,TC-250,3,1,2,2,0,2,0,"The air ambulance was flown into terrain during an overshoot because the required climb angle was not set and maintained to ensure a positive rate of climb. During the go-around, conditions were present for somatogravic illusion, which most likely led to the captain losing situational awareness.","Shamattawa, Canada",55.8608747,-92.0897947,POINT (55.8608747 -92.0897947)
10/18/2001,15:43,ERA Aviation - Air Taxi,,"Fire Island, AK - Anchorage, AK",Bell 206L,N400EH,45108,5,4,1,3,2,1,0,"The helicopter was flying very low because the pilot was not instrument rated. The skid hit the water followed by the tail rotor and the helicopter crashed. The pilot's failure to maintain clearance from the surface of an open body of water while intentionally attempting to maintain a very low altitude while in cruise flight. Factors include falling snow, low ceilings, whiteout/greyout conditions, and flat/glassy water.","Anchorage, Alaska",61.2163129,-149.8948523,POINT (61.2163129 -149.8948523)
11/12/2001,9:16,American Airlines,587,"New York City - Santo Domingo, Dominican Rep.",Airbus A-300-605R,N14053,420,260,251,9,260,251,9,5,"Three minutes after taking off and while in a climbing left turn, at 2,800 ft., parts of the plane, including the vertical stabilizer and rudder, fell from the aircraft. The crew soon lost control of the plane which nose dived and crashed into a residential neighborhood. After flying into the wake turbulence of two aircraft about two minutes into the flight, investigators believe a series of quick rudder swings by the copilot whipped the tail so severely that the fin broke off. The National Transportation Safety Board has found that pilot error was the probable cause. Sharply criticizing American Airlines Advanced Aircraft Maneuvering Program, the Board said that American Airlines' pilot training included a simulator exercise which could have caused the first officer to have an unrealistic and exaggerated view of the effects of wake turbulence, erroneously associate wake turbulence encounters with the need for aggressive roll upset recovery techniques and develop control strategies that would produce a much different -- and potentially surprising and confusing -- response if performed during flight. In addition, because of its high sensitivity, the Airbus A-300-600 rudder control system is susceptible to potentially hazardous rudder pedal inputs at higher airspeed.","Belle Harbor, Queens, New York",40.577552,-73.8485768,POINT (40.577552 -73.84857679999998)
11/19/2001,18:19,Charter - IRS Aero,LDF -9601/02,Khatanga - Moscow,Ilyushin 18V,RA-75840,182005301,27,18,9,27,18,9,0,Residents heard a loud noise and saw flames in the night sky as the aircraft clipped treetops and summer homes before crashing into a snowy forest. Wreckage was spread over a 1.5 mile area. Serious maintenance violations and operational procedures were discovered during the investigation of the accident.,"Kalyazin, Russia",57.2400206,37.8404883,POINT (57.2400206 37.8404883)
11/22/2001,13:05,Universal Jet Aviation,,"Pittsburgh, PA - Baca Raton, Fl",Learjet 25B,N5UJ,25-088,2,0,2,2,0,2,0,"The cargo plane was not able to gain altitude, veered off the runway and crashed. The (undetermined) pilot-at-the-controls' early, and over rotation of the airplane's nose during the takeoff attempt, and his failure to maintain directional control. Also causal, was the captain's inadequate remedial action, both during the takeoff attempt and after the airplane departed the runway.","Pittsburgh, Pennsylvania",40.4416941,-79.9900861,POINT (40.4416941 -79.99008609999998)
11/23/2001,18:35,ELK Aviation Co. (leased from Eminex),,Tallinn - Kardla,Antonov AN-28,ES-NOV,1AJ003-03,17,14,3,2,2,0,0,The plane crashed into a marshy forested area about 2 kilometer short of its destination at Kardla Airport. Several errors by the pilot.,"Palade, Estonia",58.96845435,22.85434015,POINT (58.96845435 22.8543401478874)
11/24/2001,22:07,Crossair,3597,Berlin - Zurich,BAE Avro RJ100,HB-IXM,E-3291,33,28,5,24,21,3,0,"The aircraft was flying through a mix of rain and snow on final approach, when it crashed in a wooded area, 5.5 miles from Zurich Airport where it was scheduled to land on Runway 28.  At 22.03 the aircraft was descending to 4000 ft. on final approach.  At 22.05 the captain reported reaching the minimum descent altitude and stated he could see the ground. Shortly after, the radio altimeter reported 500 ft. agl, followed by a ""minimum"" warning. A go-around was ordered, but it was too late and the aircraft struck trees and crashed. American pop singer, Melanie Thornton, 34, killed. Maria Serano Serano and Nathaly van het Ende both 27, and members of the pop-music trio, Passion Fruit, also killed. The pilot had been working more than 13 hours when the accident took place and had also exceeded maximum duty several times in the days preceding the crash. A controlled flight into terrain caused by the captain deliberately descending below the minimum descent altitude without having the required visual contact with either the approach lights or the runway and the copilot making no attempt to prevent the continuation of the flight below the minimum descent altitude. The report revealed that the pilot had failed to perform correct navigation and landing procedures before, but no action had been taken by the airline.  The range of hills the plane crashed into was not marked in the Jeppesen approach chart used by the crew, despite the hilly terrain the approach to runway 28 was not equipped with a minimum safe altitude warning (MSAW) system, which triggers an alarm if a minimum safe altitude is violated, and the airport's means of determining visibility were inadequate for runway 28 and the visual minimums at the time of the accident were actually inappropriate for using the standard approach to runway 28.","Birchwil, Switzerland",47.4586072,8.6349201,POINT (47.4586072 8.6349201)
11/27/2001,1:56,MK Airlines,,Luxembourg - Port Harcourt,Boeing 747-246F,9G-MKI,22063/432,13,0,13,1,0,1,0,"The cargo plane contacted the ground 700 meters short of the runway, broke in two and burned.","Port Harcourt, Nigeria",4.7676576,7.0188527,POINT (4.7676576 7.0188527)
12/1/2001,1:43,"Military - Russian, cargo",-,Moscow - Bratsk - Anadyr,Ilyushin IL- 76TD,RA-76839,1023411375,18,9,9,18,9,9,0,A fire broke out aboard the aircraft while en route at FL290. The crew was preparing for an emergency landing when two explosions tore apart the plane causing it to crash.,"Novaya Inya , Russia",59.375946,144.862259,POINT (59.375946 144.862259)
12/14/2001,,Eagle Air,,Bunia - Beni,Let 410A,5X-CNF,730208,6,4,2,6,4,2,0,The plane may have been shot down by Allied Democratic Forces rebels.,"Geti, Democratic Republic Congo",1.20722,30.17699,POINT (1.20722 30.17699)
12/16/2001,10:21,Heliandes,,Medellin - Quibdo,Let 410UVP-E,HK-4175X,861618,16,14,2,16,14,2,0,"The aircraft crashed into El Silencio de El manzanillo mountain at 7,800 ft., 3 minutes after taking off in heavy rain and poor visibility from Medellin Airport.","Medellin, Colombia",6.2443382,-75.573553,POINT (6.244338200000001 -75.573553)
12/26/2001,10:20,BAL Bremerhaven Airline,,Bremerhaven - Wangerooge,Britten Norman BN-2B Trislander,D-IAAI,2167,9,8,1,8,7,1,0," The aircraft crashed into the Weser River shortly after taking off from Bremerhaven Airport. Three persons were pulled from the river, two of whom died shortly thereafter as a result of their injuries.","Bremerhaven, Germany",53.5522264,8.5865509,POINT (53.5522264 8.586550900000001)
1/4/2002,12:07,Agco Corp,,"Birmingham, England - Bangor, MA",Canadair CL-604, N90AG,5414,5,3,2,5,3,2,0,"After taking off, banked to the left, wing contacted ground, a fire erupted and the aircraft broke up. Failure of the crew to de-ice the wings before takeoff. Possible impairment of crew performance by the combined effects of a non-prescription drug, jet-lag and fatigue were also considered factors.","Birmingham, England",52.4796992,-1.9026911,POINT (52.47969920000001 -1.9026911)
1/9/2002,,Military - U.S. Air Force,,Jacobabad - Shamsi,Lockheed Hercules KC-130R,160021,4702,7,0,7,7,0,7,0,While on approach the aircraft struck a hill a few hundred feet short of runway in poor weather.,"Shamsi AFB, Pakistan",34.37014,72.02101,POINT (34.37014 72.02101)
1/14/2002,7:28,Ibertrans Aérea,1278,Madrid - Bilbao,Embraer EMB-120 Brasilia,EC-GTJ,120-024,3,0,3,3,0,3,0,"While descending, the cargo plane struck Mount Santa Maria Vieja, 35 km from the airport in fog and poor visibility.","Bilbao, Spain",43.2630051,-2.9349915,POINT (43.2630051 -2.9349915)
1/15/2002,8:45,Procuraduría General de la República,,Mexico City - Chilpancingo,de Havilland DHC-6 Twin Otter 300,XC-FIT,752,17,15,2,5,5,0,0,"During a landing attempt at Chilpancingo, the aircraft left the runway, struck a concrete perimeter wall, overturned and burned. The government plane belonged to the General Office of the judge advocate.","Chilpancingo, Mexico",17.5542149,-99.5048416,POINT (17.5542149 -99.50484159999999)
1/16/2002,16:29,Garuda Indonesia Airlines,421,Mataram - Yogyakarta - Jakarta,Boeing B-737-3Q8,PK-GWA,24403/1706,62,54,8,1,0,1,0,"The aircraft suffered a flame out of both engines in torrential rains while on approach  to Yogyakarta. The crew made an emergency landing in the Bengawan Solo River, in shallow water. The plane circled several times before diving in a steep course towards the river. The plane's left wing struck a river bank before it plunged into the water. The reason the crew flew into extreme weather was the heavy rain and hail was shadowed on the radar and blocked from radar view. In addition, the airplane had a partially failed battery which was exhausted by two attempts to restart the engines, producing a total electrical failure. A flight attendant drowned in the shallow water when she jumped from the plane.","Solo, Indonesia",-7.5692462,110.828448,POINT (-7.5692462 110.828448)
1/17/2002,11:00,Petroproducción,,Quito - Lago Agrio,Fairchild FH-227E,HC-AYM,511,26,21,5,26,21,5,0,"The plane crashed into del cerro El Tigre mountain in the jungles of the Amazon at an elevation of 14,700 ft.  The 35 minute flight was transporting oil workers to a remote oil field.","La Bonita, Ecuador",0.4729531,-77.5460728,POINT (0.4729531 -77.5460728)
1/27/2002,,Military - Angolan  Air Force,-,,Antonov AN-12,T-304,A12244,40,34,6,5,3,2,0,Crashed 2km short of the runway  from the Luena Airport while attempting to land in heavy rain.,"Luena, Angola",-11.7790355,19.9122676,POINT (-11.7790355 19.9122676)
1/28/2002,11:00,TAME,120,Quito -  Tulcán - Cali,Boeing B-727-134,HC-BLF,19692/498,92,83,9,92,83,9,0,"The airliner crashed into the fogbound 15,721 ft. Nevado de Cumbal volcano, in the Andes mountains, near the Ecuador / Colombian border. Air traffic control lost contact with the plane as it circled into Colombian territory to maneuver around snow capped mountain peaks and return to the Ecuadorian border city of Tulcán. The pilot's decision to initiate and continue the flight towards Tulcán Airport while below minimum meteorological conditions established in the company's standard operating procedure.  Inadequate navigation and operation of the aircraft by the pilot in command consistent with entering the holding pattern at the Tulcán NDB with a velocity of 230 knots indicated and with a bank angle of 15 degrees, exceeding the maximum limit of 180 knots stipulated throughout the procedure, and using a bank angle inferior to the recommended 25 to 30 degrees, thereby departing holding pattern obstacle protection, leading to a collision against the Cumbal Volcano.","Ipiales, Colombia",0.8278641,-77.6402069,POINT (0.8278641 -77.6402069)
2/12/2002,7:50,Iran Air Tours,956,Tehran - Khorramabed,Tupolev TU-154,EP-MBS,91A-871,117,108,9,117,108,9,0,Crashed against the side of a mountain in heavy fog in the Sefid Kouh mountain range while on approach to Khorramabad. The plane was totally destroyed and scattered in small pieces across the mountain. Pilot error.,"Khorramabad, Iran",33.4842109,48.3538276,POINT (33.4842109 48.3538276)
2/15/2002,6:08,Tiramavia,,,Antonov 12BP,ER-ADL,4342610,10,3,7,1,0,1,0,The cargo plane crashed while attempting to make an emergency landing.,"Monrovia, Liberia",6.328034,-10.797788,POINT (6.328034 -10.797788)
2/21/2002,20:44,Military - Russian Navy,,Sanofov - Lakhta,Antonov AN-26,07RED,ZR726001,20,12,8,17,12,5,0,"The plane was making an emergency landing after two previous attempts in heavy snow and strong winds when it clipped treetops and crashed into a field, approximately 1.5km short of the runway.","Lakhta, Russia",59.9911386,30.1673669,POINT (59.99113860000001 30.1673669)
2/22/2002,2:30,Military - U.S. Army,,Basilan - Mactan Island,MH-47 Chinook helicopter,92-0471,M-3719,10,4,6,10,4,6,0,"A helicopter ferrying U.S. troops in a counter-terrorism exercise, crashed into the sea, 30 minutes before its scheduled arrival at Mactan Island. The helicopter was flying in tandem with another U.S. Army Chinook when it crashed.","Dumaguete, Philippines",9.3054777,123.3080446,POINT (9.305477699999999 123.3080446)
3/9/2002,13:40,Svedijos Prekés,2801,"Budapest, Hungary - Tunis, Tunisia",Antonov 2TP,LY-AVD,1G137-53,3,1,2,3,1,2,0,"While en route the cargo plane impacted the side of a mountain at an altitude of 6,167 ft.  Pilot error. The crew did not conform to the VFR that required a track change to maintain the required flight parameters and/or a diversion to a suitable alternate airport.","Monte Rotondo, Italy",40.6481842,16.585364,POINT (40.6481842 16.585364)
3/14/2002,16:30,Charter - Aerotaxi,,Cienfuegos -- Cayo Coco,Antonov AN-2,CU-T1020,,17,15,2,17,15,2,0,"While en-route, 35 minutes into the flight, the bi-plane crashed near Santa Clara. The plane was seen spinning out of control before it hit the ground. A strong gust of wind, possibly a small tornado, tore off the top part of the left wing.","Placetas, Cuba",22.27451125,-79.66924405,POINT (22.27451125 -79.6692440548363)
3/17/2002,8:02,Djibouti Airlines,,"Mogadishu, Somalia - Djibouti",Let 410UVP-E,J2-KBC,912537,4,0,4,4,0,4,0,The cargo plane crashed into the ocean while on approach to Runway 27.,"Djibouti, Republic of Djibouti",11.8145966,42.8453061,POINT (11.8145966 42.8453061)
4/12/2002,4:07,Tadair,306,Madrid - Palma de Mallorca,Swearingen SA.227AC Metro III,EC-GKR,AC-620,2,0,2,2,0,2,0,The cargo plane crashed into lights near the runway threshold while attempting to land on Runway 24L.,"Palma de Mallorca, Spain",39.5695818,2.6500745,POINT (39.56958179999999 2.6500745)
4/15/2002,11:23,Air China,129,Beijing - Busan,Boeing B-767-200ER,B-2552,23308/127,166,155,11,128,120,8,0,"The aircraft crashed onto a mountain, in fog, wind and rain while attempting to land at Kimhae Airport. A strong southerly wind required the aircraft to make a turn and approach the runway from the north. The aircraft crashed near the peak of Mt. Mulbong, approximately 3 mile north of the runway. The plane bounced three times before hitting the ground and exploding. More than 1,000 trees were uprooted by the impact. The plane was off course when the crew turned on final. The flight crew performed the circling approach, not being aware of the weather minima of wide-body aircraft (B767-200) for landing, and in the approach briefing, did not include the missed approach, etc., among the items specified in Air China’s operations and training manuals.  The flight crew exercised poor crew resource management and lost situational awareness during the circling approach to runway 18R, which led them to fly outside of the circling approach area, delaying the base turn, contrary to the captain’s intention to make a timely base turn. The flight crew did not execute a missed approach when they lost sight of the runway during the circling approach to runway 18R, which led them to strike high terrain (mountain) near the airport. When the first officer advised the captain to ascend again for landing, about 5 seconds before impact, the captain did not react, nor did the first officer initiate the missed approach himself.","Busan, South Korea",35.1799528,129.0752365,POINT (35.1799528 129.0752365)
4/19/2002,9:15,SELVA Colombia,,Medellín - Popayán,Antonov AN-32A,HK-4171X,2508,8,5,3,3,3,0,0,"The plane was being used by the Penitentiary and Prison National Institute, Inpec, to fly prisoners from Medellín to Popayán. The aircraft had just finished flying 50 prisoners to Popayán when it took off from Popayán to pick up more prisoners. The aircraft nosed into the ground shortly after becoming airborne.","Popayán, Colombia",2.4420181,-76.6062744,POINT (2.4420181 -76.6062744)
4/28/2002,6:15,Private,,,Mi-8 helicopter,,,20,17,3,8,6,2,0,"The helicopter struck power lines and crashed in near-zero visibility. Governor of Krasnoyarsk territory, Alexander Lebed, 52, was among those killed. ""Power line, power line!"" were the last words of the pilot. Thick fog concealing a frost-covered power line led to the helicopter crash.","Abakan, Russia",53.7209024,91.442435,POINT (53.7209024 91.442435)
5/4/2002,13:30,EAS Airlines (Executive Airline Services),4226,Abuja - Jos - Kano - Lagos,BAC One-Eleven 525FT,5N-ESF,266,77,69,8,74,67,7,78,"The aircraft crashed into houses, two mosques and a school in the densely populated neighborhood of Gwammaja, approximately  1.2 miles from Kano International Airport, shortly after taking off. There were reports of an engine failure and  fire during the takeoff. Prior to the fatal crash, the aircraft involved in the incident had been grounded on two previous occasions to perform engine maintenance.","Kano, Nigeria",11.8948389,8.5364136,POINT (11.8948389 8.536413599999999)
5/7/2002,15:17,EgyptAir,843,Cairo - Tunis,Boeing B-737-566,SU-GBI,25307/2135,62,56,6,14,11,3,0,"The jet airliner crashed into a hillside, 4 miles from the Tunis-Carthage airport, as the pilot attempted to make a landing. The plane's landing gear had failed to open during the approach into Tunis-Carthage airport and the pilot had made another circuit before attempting a fresh landing when the plane crashed in heavy rain and high winds. The accident was attributed to the rough weather conditions and the pilot's inability to deal with the situation.","Tunis, Tunisia",33.8439408,9.400138,POINT (33.8439408 9.400138)
5/7/2002,21:32,China Northern Airlines,6136,Beijing - Dalian,McDonnell Douglas MD-82,B-2138,49522/17023,112,103,9,112,103,9,0,"The MD-82 crashed into the Dalian Bay, 12 miles east of Dalian airport. The pilot reported a fire aboard the aircraft and the cabin lights were out prior to the plane impacting the water.  The accident was caused by an act of sabotage by a passenger who lit a fire  using gasoline in the cabin. He had bought multiple insurance policies before boarding the flight.","Dalian, China",38.9181714,121.6282945,POINT (38.9181714 121.6282945)
5/21/2002,19:30,Sky Executive Air Services,,Port Harcourt - Calabar,LET 410UVP,9Q-CEX,851402,5,0,5,5,0,5,0,"The plane crashed approximately 12 miles from Calabar while attempting to land. All passengers departed at Port Harcourt and only a crew of 5 was aboard. The premature departure of the plane from the normal minimum safe altitude of 2,500 ft. without air traffic controller's clearance until it flew into the terrain. Other contributing factors were the emergence of electrical problem on the aircraft at the commencement of the approach which might have distracted the  pilot  and unfavorable weather conditions of low ceiling and thunderstorms which impaired visibility at the critical time of descent.","Calabar, Nigeria",4.9795999,8.3373597,POINT (4.9795999 8.3373597)
5/25/2002,7:00,Trigana Air Service,,Nabire - Enaotali,de Havilland Canada DHC-6 Twin Otter 300,PK-YPZ,458,6,2,4,6,2,4,0,The aircraft crashed in thunderstorms and heavy rain while en route.,"Nabire, Indonesia",-3.2048097,135.9754943,POINT (-3.2048097 135.975494347338)
5/25/2002,15:29,China Airlines (Taiwan),611,Taipei - Hong Kong,Boeing B-747-209B,B-18255,21843/386,225,206,19,225,206,19,0,"The flight crashed into the sea, 31 miles NE of the Penghu (Pescadore) Islands in the Taiwan Strait. The plane disappeared from radar while flying at 35,000 ft. approximately 20 minutes after taking off from Chiang Kai Shek Airport. There was no distress call and the weather was good at the time. Military radar revealed the aircraft  disintegrated in midair, breaking into four pieces. Only 175 of 225 bodies were recovered. The carrier  failed to conduct a preventive anti-rust operation in a timely manner every four years. Damage from a 1980 tailstrike was not properly repaired and fatigue cracks formed, which eventually led to a structural failure.","Penghu Island, Taiwan",23.569694,119.5664543,POINT (23.569694 119.5664543)
6/1/2002,6:45,Airquarius Aviation - Charter,,Bloemfontein - George,Hawker Siddeley HS-748-372,ZS-OJU,1782,3,1,2,3,1,2,0,"The private postal service plane crashed into the Outeniqua mountains, near Outeniqua Pass, after a missed approach to George Airport. The aircraft crashed as it circled for another landing attempting poor weather conditions. Former South African cricket captain, Hansie Cronje, 32, the only passenger aboard, was killed along with the crew. Pilot error. The pilot broke with procedure when trying to land the small cargo plane and failed to heed warnings that the aircraft was too near the ground.","George, South Africa",-33.964444,22.459722,POINT (-33.964444 22.459722)
6/2/2002,,Military - Angolan Armed Forces,,Luanda - demobilization camp,Mi-17,,,25,23,2,20,18,2,0,The helicopter crashed in poor weather while on its way to a remote town for the symbolic surrender of arms held by Unita rebels. Two top ranking generals were among those killed in the crash.,"Ndalatando, Angola",-9.2984831,14.9144981,POINT (-9.298483099999999 14.9144981)
6/12/2002,21:24,Military - U.S. Air Force,,,Lockheed MC-130H Hercules,84-0475,5041,10,2,8,3,0,3,0,While participating in a night mission to remove U.S. Special Forces troops the plane crashed 2.5 miles from the airstrip. Overloaded. The excessive cargo weight loaded on the aircraft at the Band E Sardeh Dam landing zone.,"Gardez, Afghanistan",33.5877097,69.2685645,POINT (33.5877097 69.2685645)
7/1/2002,23:36,Bashkirian Airlines / DHL Worldwide Express,2937 / 611,Moscow-Munich-Barcelona / Bahrain/Brussels,Tupolev TU-154M / Boeing B-757-23APF,RA85816/A9C-DHL,1006 / 24635/258,71,57,14,71,57,14,0,"The airliner and cargo plane collided over southern Germany at 35,400 ft. Debris was spread across a 20 mile radius. Fifty-two children on a beach holiday were among the 69 aboard the Tupolev. The Tupolev pilot received contradictory instructions. The collision avoidance warning system (TCAS) told the pilot to ascend followed by an order from the Swiss air traffic controller to descend one second later. The Russian plane did not immediately respond to the tower's order to descend, so he repeated the command 14 seconds later. Thirty seconds later the two planes collided. The Tupolev's TCAS was telling the pilots to ascend. The Boeing's TCAS was telling the pilots to descend. The Swiss air traffic controller was telling the Tupolev's pilots to descend. The air traffic controller that guided the planes had no way of knowing the Russian pilot was receiving contradictory instruction from his cockpit TCAS unless told so by the pilot. Russian aviation officials said the pilot correctly gave precedence to the control tower, but Western aviation experts said pilots are trained to give precedence to the cockpit warning. In addition, the controller was left alone on duty while his partner went on a break and was preoccupied with another aircraft. This was accepted policy at Skyguide, the Swiss air control company. In addition, maintenance crews, working on the computer system, limited the controller's information he was receiving including conflict alert warnings. Sadly, one-and-a-half years later, the controller, Peter Nielsen, was stabbed to death by a Russian man who had lost his wife and two children in the accident.","Uberlingen, Germany",47.7667246,9.1666488,POINT (47.7667246 9.166648800000001)
7/4/2002,11:15,Prestige Airlines (Cargo) Charter,,"N'Djamena, Chad - Brazzaville, Congo",Boeing B-707-123B,9XR-IS,19335,27,19,8,27,19,8,0,The aircraft crashed 2 miles short of the runway into the Guitangola neighborhood of Bangui. The plane was bound for Brazzaville but diverted to Bangui because of mechanical problems. Two survived but succumbed to their injuries.,"Bangui, Central African Republic",4.3907153,18.5509126,POINT (4.3907153 18.5509126)
